video_genres,video_level,video_title,video_url,video_year,release_date
Adventure Drama Thriller,"PG
                        
    
, 
,",Jaws,https://www.imdb.com/title/tt0073195/,1975,20 June 1975 U SA)
Crime Drama Mystery,"Not Rated
                        
    
, 
,",The Barefoot Contessa,https://www.imdb.com/title/tt0046754/,1954,29 September 1954 U SA)
Drama Fantasy Horror,"Not Rated
                        
    
, 
,",Ginger Snaps,https://www.imdb.com/title/tt0210070/,2000,11 May 2001 Canada)
Drama Romance TV Series ,"TV-PG
                        
    
,",Coronation Street,https://www.imdb.com/title/tt0053494/,,1960– )
Adventure Drama Family TV Series ,"TV-PG
                        
    
, 
,",Doctor Who,https://www.imdb.com/title/tt0436992/,,2005– )
Action Adventure Drama Episode airs ,"TV-PG
                        
    
, 
,",Episode #6.9,https://www.imdb.com/title/tt8422652/,,2019
Talk-Show Episode aired ,,Episode #13.203,https://www.imdb.com/title/tt1465707/,,26 June 2009
Documentary History Music Episode aired ,"TV-PG
                        
    
, 
,",The Gift: 1917-1924,https://www.imdb.com/title/tt1067633/,,9 January 2001
Documentary Video ,,At the Waterfront After the Social: The Legacy of Sleepaway Camp,https://www.imdb.com/title/tt3593030/,2014,27 May 2014
Comedy Talk-Show Episode aired ,",",Episode #2.7,https://www.imdb.com/title/tt6442576/,,16 January 2017
T V Special ,,The 39th Annual Primetime Emmy Awards,https://www.imdb.com/title/tt1044991/,1987,20 September 1987
Action Reality-T VT V Series ,",",Bridezillas,https://www.imdb.com/title/tt0462085/,,2004– )
Action Drama Episode aired ,"TV-14
                        
    
,",Spartacus,https://www.imdb.com/title/tt4649312/,,12 May 2015
Documentary Short Video ,",",A Work of Art: An Interview with Actor Art LaFleur,https://www.imdb.com/title/tt9722180/,2019,22 January 2019
Action Adventure Drama Episode aired ,"TV-14
                        
    
, 
,",All the Comforts of Home,https://www.imdb.com/title/tt7183100/,,2 March 2018
Action Adventure Fantasy,"PG-13
                        
    
, 
,",Thor,https://www.imdb.com/title/tt0800369/,2011,6 May 2011 U SA)
Reality-T VEpisode aired ,TV-14,Dueling Labor Day Parties,https://www.imdb.com/title/tt1634251/,,11 March 2010
Comedy Crime Episode aired ,"TV-14
                        
    
,",Gone in a Flash,https://www.imdb.com/title/tt3107574/,,14 August 2013
Comedy Music Talk-Show Episode aired ,"TV-14
                        
    
, 
,",Dial T for Misdialed Murder,https://www.imdb.com/title/tt1893590/,,19 April 2011
Comedy Horror,"R
                        
    
,",An American Werewolf in London,https://www.imdb.com/title/tt0082010/,1981,21 August 1981 U SA)
Drama Romance Episode aired ,"TV-PG
                        
    
,",Episode #1.7355,https://www.imdb.com/title/tt1659378/,,7 June 2010
Comedy Music Talk-Show Episode aired ,"TV-14
                        
    
, 
,",Episode #7.51,https://www.imdb.com/title/tt1765516/,,16 November 2010
Action Adventure Drama Episode airs ,"TV-PG
                        
    
, 
,",Episode #6.10,https://www.imdb.com/title/tt8422656/,,2019
Talk-Show Episode aired ,,Episode #13.204,https://www.imdb.com/title/tt1465708/,,29 June 2009
Documentary History Music Episode aired ,"TV-PG
                        
    
, 
,",Our Language: 1924 -1929,https://www.imdb.com/title/tt1067629/,,10 January 2001
Horror,R,Sleepaway Camp,https://www.imdb.com/title/tt0086320/,1983,18 November 1983 U SA)
Comedy Talk-Show Episode aired ,",",Episode #2.8,https://www.imdb.com/title/tt6442772/,,17 January 2017
Comedy Talk-Show Episode aired ,",",Episode #2.6,https://www.imdb.com/title/tt6435436/,,15 January 2017
Horror Mystery Thriller Episode aired ,"TV-MA
                        
    
, 
,",A Place to Fall,https://www.imdb.com/title/tt4007078/,,23 October 2015
Action Drama Episode aired ,"TV-14
                        
    
,",Let It Burn,https://www.imdb.com/title/tt4649316/,,13 October 2015
Action Adventure Drama Episode aired ,"TV-14
                        
    
, 
,",Past Life,https://www.imdb.com/title/tt7183092/,,2 February 2018
T V Special ,,The 36th Primetime Emmy Awards,https://www.imdb.com/title/tt1836941/,1984,16 September 1984
Reality-T VEpisode aired ,TV-14,Fall in Manhattan,https://www.imdb.com/title/tt1634252/,,18 March 2010
Comedy Drama Romance,"R
                        
    
, 
,",Class,https://www.imdb.com/title/tt0085346/,1983,22 July 1983 U SA)
Comedy Horror,"R
                        
    
,",Vampire's Kiss,https://www.imdb.com/title/tt0098577/,1988,16 June 1989 Italy)
Horror,,Mr. Hush,https://www.imdb.com/title/tt1640220/,2010,23 October 2010 U SA)
